"","V1","V2","V3","V4","V5"
1,2.27650370e+00,-0.86043752267, 0.181800608, 0.0833437189,-0.1038814815
2,1.69250370e+00, 0.34445722254,-0.828570848, 0.7592284340,-0.4511407407
3,1.22880000e+00, 1.08369973701,-1.087623464, 0.7094480108,-0.3504000000
4,8.67614815e-01, 1.46076829423,-0.849772085, 0.2788730100,-0.0505481481
5,5.92592593e-01, 1.56785262878,-0.331269330,-0.2566001196, 0.2592592593
6,3.88800000e-01, 1.48585393629, 0.289794410,-0.6900490417, 0.4496000000
7,2.42725926e-01, 1.28438487350, 0.873490969,-0.8835255319, 0.4507851852
8,1.42281481e-01, 1.02176955818, 1.318054410,-0.7680554781, 0.2528592593
9,7.68000000e-02, 0.74504356920, 1.559881021,-0.3436388802,-0.0944000000
10,3.70370370e-02, 0.48995394649, 1.573529317, 0.3207501495,-0.4814814815
11,1.51703704e-02, 0.28095919108, 1.371720042, 1.0871633869,-0.7391407407
12,4.80000000e-03, 0.13122926503, 1.005336163, 1.7486784953,-0.6384000000
13,9.48148148e-04, 0.04264559150, 0.563422876, 2.0293990262, 0.1094518519
14,5.92592593e-05, 0.00580105473, 0.173187606, 1.5844544188, 1.8528592593
